                                                                                                                                                                                                                                                           LR Parsing Table                                                                                                                                                                                                                                                           
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
||       ||      Semicolon       |       Integer        |          $           |        Error         |   LeftParenthesis    |    PrintFunction     |   RightParenthesis   |         Plus         |        Comma         |        Minus         |       Multiply       |        Divide        |        Power         |        String        |          2           |    ExpressionList    |       Program        |  ExpressionListNext  |      Statements      |       Constant       |      Statement       |      Expression      ||
||  52   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |        Empty         |       S[44,-1]       |        Empty         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  53   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |        Empty         |       S[44,-1]       |        Empty         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  54   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |        Empty         |       S[44,-1]       |        Empty         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  55   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |        Empty         |       S[44,-1]       |        Empty         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  56   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |         R[3]         |       S[44,-1]       |        Empty         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  57   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |         R[3]         |       S[44,-1]       |        Empty         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  58   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |         R[3]         |       S[44,-1]       |        Empty         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  59   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |         R[3]         |       S[44,-1]       |        Empty         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  60   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  61   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |         R[3]         |       S[44,-1]       |        Empty         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  62   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |         R[3]         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  63   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |     S[33,-1]R[3]     |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  64   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |         R[3]         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  65   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |         R[3]         |       S[44,-1]       |         R[3]         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  66   ||        Empty         |        Empty         |         R[4]         |        Empty         |        Empty         |        Empty         |         R[4]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  67   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |         102          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  68   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[81,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[80,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          82          |          -           |          79          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  69   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          78          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  70   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          77          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  71   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          76          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  72   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          75          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  73   ||        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |       S[74,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  74   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |         R[3]         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  75   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |         R[3]         |       S[44,-1]       |         R[3]         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  76   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |         R[3]         |       S[44,-1]       |         R[3]         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  77   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |         R[3]         |       S[44,-1]       |         R[3]         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  78   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |         R[3]         |       S[44,-1]       |         R[3]         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  79   ||        Empty         |        Empty         |         R[5]         |       S[95,-1]       |        Empty         |        Empty         |        Empty         |       S[90,-1]       |       S[68,-1]       |       S[92,-1]       |       S[93,-1]       |       S[94,-1]       |       S[91,-1]       |        Empty         |        Empty         |          -           |          -           |          89          |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  80   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          88          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  81   ||        Empty         |       S[10,-1]       |        Empty         |       S[83,-1]       |       S[22,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[21,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          23          |          -           |          84          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  82   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  83   ||        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |       S[87,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  84   ||        Empty         |        Empty         |        Empty         |       S[86,-1]       |        Empty         |        Empty         |       S[85,-1]       |       S[28,-1]       |        Empty         |       S[30,-1]       |       S[26,-1]       |       S[31,-1]       |       S[29,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  85   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  86   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |       S[33,-1]       |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  87   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  88   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |        Empty         |       S[44,-1]       |         R[3]         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  89   ||        Empty         |        Empty         |         R[5]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  90   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |         101          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  91   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |         100          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  92   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          99          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  93   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          98          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  94   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          97          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  95   ||        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |       S[96,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  96   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  97   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |        Empty         |       S[44,-1]       |         R[3]         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  98   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |        Empty         |       S[44,-1]       |         R[3]         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  99   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |        Empty         |       S[44,-1]       |         R[3]         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  100  ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |        Empty         |       S[44,-1]       |         R[3]         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  101  ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |        Empty         |       S[44,-1]       |         R[3]         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  102  ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |         R[3]         |       S[44,-1]       |         R[3]         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  103  ||      S[104,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  104  ||         R[2]         |         R[2]         |         R[2]         |        Empty         |         R[2]         |         R[2]         |        Empty         |        Empty         |        Empty         |         R[2]         |        Empty         |        Empty         |        Empty         |         R[2]         |         R[2]         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
